,ReactiveX__RxJava#io.reactivex.rxjava3.core.FlowableFlatMapCompletableAsyncPerf.flatMapCompletable#items=1000000&maxConcurrency=1&work=10.json,h2oai__h2o-3#water.ChunkBench.colsRowsRead#cols=10000&rows=100000.json,eclipse__rdf4j#org.eclipse.rdf4j.benchmark.QueryOrderBenchmark.selectDistinct#countk=100&limit=-1&syncThreshold=10000.json
0,8.774483968,10.049552383999998,8.329887744
1,8.925478912,10.737418239999998,7.9020687359999995
2,20.333985792,9.210691584000001,7.683964927999999
3,19.058917376,9.210691584000001,7.776239616
4,9.730785280000001,9.210691584000001,7.717519359999999
5,15.502147584000001,9.210691584000001,7.709130752
6,17.750294528,9.747562496,7.709130752
7,21.709717504,9.227468799999999,7.683964927999999
8,21.642608640000002,9.596567552,7.658799104
9,20.333985792,9.344909312,7.784628224
10,8.321499136,9.126805504,7.742685184
11,8.489271296,9.714008064,7.675576319999999
12,7.818182656,9.210691584000001,7.683964927999999
13,7.558135808,9.193914368,7.7007421439999995
14,7.4658611200000005,9.73078528,7.650410495999999
15,7.558135808,9.210691584000001,7.717519359999999
16,7.423918080000001,9.663676416,7.667187712
17,7.340032000000001,9.294577664,7.683964927999999
18,11.291066368000001,9.210691584000001,7.658799104
19,11.039408128,9.73078528,7.776239616
20,14.143193088,9.227468799999999,7.667187712
21,9.6468992,9.210691584000001,7.683964927999999
22,7.767851008,9.73078528,7.667187712
23,7.700742144,9.227468799999999,7.692353536
24,7.67557632,9.277800448,7.675576319999999
25,8.329887744,9.613344768,7.675576319999999
26,7.2058142720000005,9.210691584000001,7.675576319999999
27,7.038042112,9.747562496,7.683964927999999
28,7.012876288,9.244246016,7.7007421439999995
29,6.962544640000001,9.227468799999999,7.7007421439999995
30,6.9457674240000005,9.747562496,7.7007421439999995
31,6.954156032,9.227468799999999,7.650410495999999
32,7.0296535040000006,9.227468799999999,7.683964927999999
33,6.937378816000001,9.73078528,7.675576319999999
34,6.870269952,9.227468799999999,7.675576319999999
35,6.996099072000001,9.73078528,7.809794048
36,6.861881344,9.227468799999999,7.692353536
37,6.8870471680000005,9.126805504,7.7007421439999995
38,6.979321856,9.73078528,7.692353536
39,6.861881344,9.244246016,7.734296575999999
40,6.903824384000001,9.227468799999999,7.709130752
41,6.903824384000001,9.714008064,7.784628224
42,7.079985152000001,9.227468799999999,7.675576319999999
43,7.222591488000001,9.73078528,7.667187712
44,7.29808896,9.244246016,7.7007421439999995
45,7.373586432000001,9.227468799999999,7.759462399999999
46,7.3484206080000005,9.747562496,7.7007421439999995
47,7.281311744000001,9.227468799999999,7.667187712
48,7.21420288,9.14358272,7.683964927999999
49,7.247757312,9.73078528,7.683964927999999
50,7.29808896,9.244246016,7.692353536
51,7.331643392,9.14358272,7.717519359999999
52,7.314866176000001,9.73078528,7.650410495999999
53,6.8870471680000005,9.244246016,7.683964927999999
54,6.861881344,9.261023232,7.675576319999999
55,6.819938304000001,9.697230847999998,7.675576319999999
56,6.811549696,9.227468799999999,7.7007421439999995
57,6.777995264,9.73078528,7.675576319999999
58,6.786383872,9.227468799999999,7.742685184
59,6.928990208,9.244246016,7.7007421439999995
60,7.532969984,9.73078528,7.717519359999999
61,7.532969984,9.210691584000001,7.784628224
62,7.256145920000001,9.227468799999999,7.759462399999999
63,7.021264896000001,9.73078528,7.709130752
64,6.83671552,9.210691584000001,7.683964927999999
65,6.7696066560000006,9.210691584000001,7.675576319999999
66,6.853492736000001,9.747562496,7.692353536
67,6.803161088,9.210691584000001,7.692353536
68,6.761218048000001,9.227468799999999,7.683964927999999
69,6.845104128,9.747562496,7.742685184
70,7.256145920000001,9.244246016,7.7007421439999995
71,7.21420288,9.227468799999999,7.7007421439999995
72,7.2897003520000005,9.73078528,7.692353536
73,7.222591488000001,9.227468799999999,7.767851008
74,7.2897003520000005,9.227468799999999,7.7007421439999995
75,7.272923136,9.73078528,7.683964927999999
76,7.306477568,9.227468799999999,7.683964927999999
77,7.222591488000001,9.261023232,7.709130752
78,7.306477568,9.697230847999998,7.692353536
79,7.239368704,9.227468799999999,7.7007421439999995
80,7.21420288,9.412018176,7.683964927999999
81,7.2897003520000005,9.546235904,7.7007421439999995
82,6.970933248000001,9.227468799999999,7.767851008
83,6.83671552,9.73078528,7.717519359999999
84,6.928990208,9.227468799999999,7.734296575999999
85,6.8870471680000005,9.210691584000001,7.717519359999999
86,6.811549696,9.747562496,7.675576319999999
87,7.239368704,9.244246016,7.692353536
88,7.189037056,9.210691584000001,7.658799104
